STRID,EPISODE,DESCRIPTION,got1,got2,completed1,completed2,null1,null2,failed,XP,NAME1,NAME2,BUILDINGS,HUMANS,MARKERS,SUB
quest_crash_revenge,crashsite,,,,,,,,,50,Revenge for killed comrades.,Отомстить неграм за убитых товарищей.,,"blackfighter2,blackfighter3,blackfighter4,blackfighter5,blackfighter8",-,0
quest_crash_get_out,crashsite,,,,,,,,,30,Find the way out.,Найти выход из горного лабиринта.,,,"crashsite,70,80",0
quest_crash_potato,crashsite,,,,,,,,,10,Find potato and pick it up.,Найти картофель и собрать его.,,,"crashsite,89,26",0
quest_become_electrician,стать электриком,,Fur1,,toljan3,,Guver2a,,,200,Добиться перевода на техническую должность.,Добиться перевода на техническую должность.,"fact_ent,office",guver,-,0
quest_become_electrician2,,,toljan3,,Fur2,,,,,200,Получить от Шубы дальнейшие указания о побеге.,Получить от Шубы дальнейшие указания о побеге.,"fact_bck_2,roughwshop",fur,-,0
quest_recover_fur,,,prod_a_fur_ghoust0,,guver2a,,,,,,Сдать Шубу Гуверу.,Сдать Шубу Гуверу.,"fact_ent,office",guver,,0
quest_give_ammo,стать электриком,,Fur2,Fur2c,Fur3,,Guver2a,,,100,Выловить патроны из сортира поварёшкой.,Выловить патроны из сортира поварёшкой.,,,-,3
quest_give_ammo_1,стать электриком,,Fur2,Fur2c,Fur3,,Guver2a,,,50,Найти поварешку на кухне.,Найти поварешку на кухне.,"fact_bck_1,kitchen",,-,-1
quest_give_ammo_2,стать электриком,,Fur2,Fur2c,Fur3,,Guver2a,,,50,Выловить патроны из сортира поварёшкой.,Выловить патроны из сортира поварёшкой.,"fact_bck_1,toilet",,-,-1
quest_give_ammo_3,стать электриком,,Fur2,Fur2c,Fur3,,Guver2a,,,0,Отнести патроны Шубе.,Отнести патроны Шубе.,"fact_bck_2,roughwshop",fur,-,-1
quest_give_electroscheme,стать электриком,,Fur3,,,,Guver2a,,,0,Заполучить электросхему предприятия.,Заполучить электросхему предприятия.,,,-,2
quest_give_electroscheme_1,стать электриком,,Fur3,,,,Guver2a,,,200,Получить у Толяна электросхему предприятия.,Получить у Толяна электросхему предприятия.,"fact_ent,office",toljan,-,-1
quest_give_electroscheme_2,стать электриком,,Fur3,,,,Guver2a,,,0,Отнести электросхему Шубе.,Отнести электросхему Шубе.,"fact_bck_2,roughwshop",fur,-,-1
quest_find_wolf,конфликт начальников,,Guver10,,Guver5,,,,,100,Найти и обезвредить Волка.,Найти и обезвредить Волка.,,,-,2
quest_find_wolf_1,конфликт начальников,,,,,,,,,50,"Получить ключ от барака, где укрылся Волк.","Получить ключ от барака, где укрылся Волк.",,powerst_f_Fight10,-,-1
quest_find_wolf_2,конфликт начальников,,,,,,,,,50,Проникнуть в барак и уничтожить Волка.,Проникнуть в барак и уничтожить Волка.,,Wolf,-,-1
quest_going_to_rough_workshop,стать электриком,,toljan1,,toljan6,,,,,200,Принести Толяну Чёрный Квадрат.,Принести Толяну Чёрный Квадрат.,,,,2
quest_going_to_rough_workshop_1,,,,,,,,,,,Достать Чёрный Квадрат из ящика.,Достать Чёрный Квадрат из ящика.,"fact_bck_2,roughwshop",,"fact_bck_2,19,26",-1
quest_going_to_rough_workshop_2,,,,,toljan6,,,,,,Доставить Чёрный Квадрат Толяну.,Доставить Чёрный Квадрат Толяну.,"fact_ent,office",toljan,,-1
quest_delivery_rooster,стать внутр.охранником,,Gibbous4,,boyl2,,,,,100,Доставить Викки фигурку петуха.,Доставить Викки фигурку петуха.,"sod_sou,daffodishop",,-,0
quest_rats,стать внутр.охранником,,Guver1,,Guver1b,,,,,100,Истребить всех крыс на складе рядом с литейкой.,Истребить всех крыс на складе рядом с литейкой.,,,-,2
quest_rats_1,стать внутр.охранником,,Guver1,,Guver1b,,,,,0,Истребить крыс на складе.,Истребить крыс на складе.,"fact_bck_1,foundware",,-,-1
quest_rats_2,стать внутр.охранником,,Guver1,,Guver1b,,,,,0,Доложить Гуверу.,Доложить Гуверу.,"fact_ent,office",guver,-,-1
quest_register,стать внутр.охранником,,Guver1b,,Guver4,,,,,0,Получить подписи руководителей цехов и предъявить Гуверу.,Получить подписи руководителей цехов и предъявить Гуверу.,"fact_ent,office",guver,-,0
quest_register_smoked,стать внутр.охранником,,Guver1b,,Smoked2,,,,,200,Получить подпись начальника литейки Копчёного.,Получить подпись начальника литейки Копчёного.,"fact_bck_1,foundry",smoked,-,0
quest_register_billybob,стать внутр.охранником,,Guver1b,,BillyBob2,,,,,150,Получить подпись начальника цеха грубой обработки Билли-боба.,Получить подпись начальника цеха грубой обработки Билли-боба.,"fact_bck_2,roughwshop",billybob,-,0
quest_register_tcatckes,стать внутр.охранником,,Guver1b,,,,,,,200,Получить подпись начальника склада Цацкеса.,Получить подпись начальника склада Цацкеса.,"fact_bck_2,warehouse",tcatckes,-,0
quest_register_kurt,стать внутр.охранником,,Guver1b,,,,,,,150,Получить подпись начальника цеха окончательной обработки Курта.,Получить подпись начальника цеха окончательной обработки Курта.,"fact_bck_2,finworkshop",kurt,-,0
quest_register_homemade,стать внутр.охранником,,Guver1b,,BillyBob4,Homemade1,,,,150,Получить подпись начальника сборочного цеха Самоделкина.,Получить подпись начальника сборочного цеха Самоделкина.,"fact_bck_1,assembly",homemade,-,0
quest_bring_otto,стать внутр.охранником,,Smoked1,Guver2c,Smoked2,,,,,0,Привести нового работника в литейку из карцера.,Привести нового работника в литейку из карцера.,"fact_bck_1,foundry",otto,-,0
quest_otto,стать внутр.охранником,,Otto2,,,,,,,20000,Передать Гюнтеру Кляйну пароль Отто.,Передать Гюнтеру Кляйну пароль Отто.,,,-,0
quest_fight_with_horse,стать внутр.охранником,,BillyBob1,Guver2c,BillyBob2,BillyBob5,,,,50,Приструнить работягу Коня.,Приструнить работягу Коня.,,,-,2
quest_fight_with_horse_1,стать внутр.охранником,,BillyBob1,Guver2c,BillyBob2,BillyBob5,,,,0,Приструнить работягу Коня.,Приструнить работягу Коня.,,horse,-,-1
quest_fight_with_horse_2,стать внутр.охранником,,BillyBob1,Guver2c,BillyBob2,BillyBob5,,,,0,Доложить Билли-бобу.,Доложить Билли-бобу.,"fact_bck_2,roughwshop",billybob,-,-1
quest_bring_vodka,стать внутр.охранником,,Tcatckes1,Guver2c,Guver3,,,,,50,"Отнести Гуверу бутылку водки, которую дал Цацкес.","Отнести Гуверу бутылку водки, которую дал Цацкес.","fact_ent,office","guver,tcatckes",-,0
quest_find_bottle_vodka_for_guver,стать внутр.охранником,,Tcatckes2,,,,Tcatckes2,,,0,"Найти бутылку с водкой, которую давал Цацкес.","Найти бутылку с водкой, которую давал Цацкес.",,,-,0
quest_bring_transmission,стать внутр.охранником,,Kurt1,,Kurt1,,,,,0,Принести Курту со склада ведро жидкой трансмиссии.,Принести Курту со склада ведро жидкой трансмиссии.,"fact_bck_2,warehouse","kurt,tcatckes",-,0
quest_get_promzone_finger,стать внутр.охранником,,Homemade1,Guver2c,Homemade4,,,,,50,"Порыться в сортире, принести найденное Генеральному.","Порыться в сортире, принести найденное Генеральному.","fact_bck_1,toilet","homemade,wc",-,0
quest_get_back_components,стать внутр.охранником,,Homemade4,Guver2c,Homemade3,,,,,0,Пообщаться с Фофаном насчёт украденных деталей.,Пообщаться с Фофаном насчёт украденных деталей.,,,-,2
quest_get_back_components_1,стать внутр.охранником,,Homemade4,Guver2c,Homemade3,,,,,50,Найти Фофана и пообщаться с ним.,Найти Фофана и пообщаться с ним.,,,"fact_bck_1,50,76",-1
quest_get_back_components_2,стать внутр.охранником,,Homemade4,Guver2c,Homemade3,,,,,0,Вернуть детали Генеральному.,Вернуть детали Генеральному.,"fact_bck_1,assembly",homemade,-,-1
quest_fight_with_homemade,стать внутр.охранником,,BillyBob3,,BillyBob4,,,,,0,"Разыскать на складе автомат, принести его Билли-Бобу.","Разыскать на складе автомат, принести его Билли-Бобу.",,,-,2
quest_fight_with_homemade_1,стать внутр.охранником,,BillyBob3,,BillyBob4,,,,,50,Разыскать автомат.,Разыскать автомат.,"fact_ent,store",,"fact_ent,16,69",-1
quest_fight_with_homemade_2,стать внутр.охранником,,BillyBob3,,BillyBob4,,,,,0,Принести автомат Билли-бобу.,Принести автомат Билли-бобу.,"fact_bck_2,roughwshop",billybob,-,-1
quest_bluehelmet,стать внутр.охранником,,Guver4,,,,,,"Guver5,prodzone_coalmine_attack_miners.ers",400,Разрешить конфликт между неграми-шахтёрами. Доложить Гуверу.,Разрешить конфликт между неграми-шахтёрами. Доложить Гуверу.,,"zvongendaba,snowball",-,0
quest_discover_coalmine,,,prodzone_coalmine_negot_failed.ers,,goodwin1,,,,,,Тщательно обыскать шахты.,Тщательно обыскать шахты.,,,,0
quest_find_goodwin,стать внутр.охранником,,Guver4,,Guver5,,,,Guver5,300,"Вернуть Гуверу его любимого, Гудвина.","Вернуть Гуверу его любимого, Гудвина.",,,-,0
quest_coalmine_exit,,,zvongendaba3,,prodzone_coalmine,,goodwin2,,,0,Выйти из шахт.,Выйти из шахт.,,,"coalmine,30,2",0
quest_check_exit_goodwin,,,goodwin2,,prodzone_coalmine_goodwin_coming.ers,,,,,0,Проверить безопасность выхода из шахт.,Проверить безопасность выхода из шахт.,,,"coalmine,30,2",0
quest_kompromat_on_wolf,конфликт начальников,,Guver8,,Guver9,,alert_about_murder_fofan,,Wolf3,300,Добыть компромат на Волка.,Добыть компромат на Волка.,"fact_ent,office",wolf,-,0
quest_talk_with_billybob,,,Billybob3,,,,Billybob3,,,,Поговорить с Билли-Бобом.,Поговорить с Билли-Бобом.,"fact_bck_2,roughwshop",billybob,,0
quest_poison_guver,конфликт начальников,,Wolf2,,Wolf3,,,,Guver9,250,Отравить Гувера.,Отравить Гувера.,"fact_ent,office",,-,6
quest_poison_guver_1,конфликт начальников,,Wolf2,,Wolf3,,,,Guver9,50,Спросить у Шубы о продаже славянского шкафа.,Спросить у Шубы о продаже славянского шкафа.,"fact_bck_2,roughwshop",fur,-,-1
quest_poison_guver_2,конфликт начальников,,Wolf2,,Wolf3,,,,Guver9,50,"Пробраться в кабинет Гувера, когда Гувер уйдёт.","Пробраться в кабинет Гувера, когда Гувер уйдёт.",,,-,-1
quest_poison_guver_3,конфликт начальников,,Wolf2,,Wolf3,,,,Guver9,50,"Отпереть тумбочку, в котором Гувер хранит водку.","Отпереть тумбочку, в котором Гувер хранит водку.",,,-,-1
quest_poison_guver_4,конфликт начальников,,Wolf2,,Wolf3,,,,Guver9,50,Засыпать в водку яд.,Засыпать в водку яд.,,,-,-1
quest_poison_guver_5,конфликт начальников,,Wolf2,,Wolf3,,,,Guver9,50,Закрыть и запереть тумбочку.,Закрыть и запереть тумбочку.,,,-,-1
quest_poison_guver_6,конфликт начальников,,Wolf2,,Wolf3,,,,Guver9,0,Незаметно выйти и запереть кабинет.,Незаметно выйти и запереть кабинет.,,,-,-1
quest_secure_perimeter,внешний охранник,,Guver5,Wolf4,Guver14,Wolf7,,,,0,Охранять периметр промзоны.,Охранять периметр промзоны.,,,,4
quest_keep_horn,,,prodzone_farm_mine_leva.ers,,prodzone_farm_mine_tutu.ers,,,,prodzone_farm_mine_dead_horn.ers,,Уничтожить нападающих охранников. Гудок должен выжить.,Уничтожить нападающих охранников. Гудок должен выжить.,,horn,,0
quest_secure_perimeter_1,внешний охранник,,Guver5,Wolf4,Guver14,Wolf7,,,,30,Посетить главный вход на промзону.,Посетить главный вход на промзону.,,,"entry,64,74",-1
quest_secure_perimeter_2,внешний охранник,,Guver5,Wolf4,Guver14,Wolf7,,,,30,Посетить окрестности патронного завода.,Посетить окрестности патронного завода.,,,"dep_ammo,58,39",-1
quest_secure_perimeter_4,внешний охранник,,Guver5,Wolf4,Guver14,Wolf7,,,,30,Посетить патронный завод.,Посетить патронный завод.,"dep_ammo,guardbarracks",,"dep_ammo,85,72",-1
quest_secure_perimeter_3,внешний охранник,,Guver5,Wolf4,Guver14,Wolf7,,,,30,Посетить вход в угольный карьер.,Посетить вход в угольный карьер.,,,"farm_mine,16,64",-1
quest_chucha,prodzone-mini,,chucha2,,chucha3,,,,,50,Добыть гриб-синяк для Чучи.,Добыть гриб-синяк для Чучи.,,,,2
quest_chucha_1,,,,,,,,,,,Сорвать гриб-синяк.,Сорвать гриб-синяк.,,,"farm_mine,76,16",-1
quest_chucha_2,,,,,,,,,,,Принести гриб-синяк Чуче.,Принести гриб-синяк Чуче.,,chucha,,-1
quest_wargun,prodzone-mini,,wargun1,,wargun3,,,,wargun3,,"Испытать образцы оружия, изготовленного на промзоне.","Испытать образцы оружия, изготовленного на промзоне.",,wargun,,0
quest_steal_ammo,Контрабанда патронов,,Guver13,Wolf6,Guver14,Wolf7,,,,200,Расследовать хищения патронов.,Расследовать хищения патронов.,,,-,2
quest_steal_ammo_1,Контрабанда патронов,,Guver13,Wolf6,pimple4,,,,,0,Допросить Пупыря.,Допросить Пупыря.,"dep_ammo,guardbarracks",pimple,-,-1
quest_steal_ammo_2,Контрабанда патронов,,Guver13,Wolf6,Guver14,Wolf7,,,,0,Доложить о результатах.,Доложить о результатах.,"fact_ent,office","guver,wolf",-,-1
quest_secure_ammo,Контрабанда патронов,,Guver14,Wolf7,,,prodzone_farm_mine_leva.ers,,,30,Расследовать факты побегов людей с промзоны.,Расследовать факты побегов людей с промзоны.,,,,0
quest_trainstop,Побег с промзоны,,trainstop,,trainstop,,,,,30,Идти пешком в направлении города Северный.,Идти пешком в направлении города Северный.,,,"trainstop,2,52",0
quest_talk_with_gibbous,,,norcity_rubbish_lazarus_destroy.ers,,norcity_rubbish.ers,,,,,150,Добыть приличную одежду у человека по имени Горбатый.,Добыть приличную одежду у человека по имени Горбатый.,,gibbous,,0
quest_enter_norcity,,,norcity_rubbish_start.ers,,norcity_rubbish.ers,,,,,100,Пройти внутрь Северного города.,Пройти внутрь Северного города.,,,"rubbish,2,72",0
quest_find_zanach,prodzone-mini,,testp1,,testp3,,,,,25,Принести внешнему охраннику его заначку.,Принести внешнему охраннику его заначку.,,testp,"fact_bck_1,46,82",0
quest_find_water,prodzone-mini,,indorguard0,,indorguard1,,,,,30,"Принести охраннику питье, чтобы его не мучил сушняк.","Принести охраннику питье, чтобы его не мучил сушняк.",,q_prodzone_indorguard,,0
quest_naezd,prodzone-mini,,,,,,,,,30,Разобраться с охранником-хамом.,Разобраться с охранником-хамом.,,q_prodzone_badguard,,0
quest_Sandy,prodzone-mini,,,,,,,,,50,Помочь рабочему Сэнди.,Помочь рабочему Сэнди.,,"q_prodzone_sandyworker,q_prodzone_guads",,0
quest_prodzone_grab,prodzone-mini,,,,,,,,,30,Принести картошку злому рабочему.,Принести картошку злому рабочему.,,q_prodzone_workerOU,,0
quest_prodzone_Durik,prodzone-mini,,,,,,,,,25,"Работяга обещает съем с планеты, если найти ему морковь.","Работяга обещает съем с планеты, если найти ему морковь.",,q_prodzone_workerAU,,0
quest_bossn_killbs,,,,,,,,,,500,Убить человека по имени Роджер и доложить Клайду.,Убить человека по имени Роджер и доложить Клайду.,,,,2
quest_bossn_killbs_1,,,,,,,,,,100,Убить Роджера.,Убить Роджера.,,norcity_q_BossS,,-1
quest_bossn_killbs_2,,,,,,,,,,100,Получить награду. ,Получить награду. ,,norcity_q_BossN,,-1
quest_bosss_killbn,,,,,,,,,,500,Убить человека по имени Клайд и доложить Роджеру.,Убить человека по имени Клайд и доложить Роджеру.,,,,2
quest_bosss_killbn_1,,,,,,,,,,100,Убить Клайда.,Убить Клайда.,,norcity_q_BossN,,-1
quest_bosss_killbn_2,,,,,,,,,,100,Получить награду. ,Получить награду. ,,norcity_q_BossS,,-1
quest_helpers_abc,,,,,,,,,,300,Передать на словах кодовую фразу адресату.,Передать на словах кодовую фразу адресату.,,"norcity_q_helperS,norcity_q_Svyaznoy",,0
quest_helpern_weapon,,,,,,,,,,1200,Добыть оружие для человека по имени Веник.,Добыть оружие для человека по имени Веник.,,norcity_q_helperN,,0
quest_frenk_killall,,,,,,,,,,500,"Убить Роджера и Клайда, которых заказал человек по имени Френк.","Убить Роджера и Клайда, которых заказал человек по имени Френк.",,norcity_q_frenk,,3
quest_frenk_killall_1,,,,,,,,,,,Убить Роджера.,Убить Роджера.,,norcity_q_BossS,,-1
quest_frenk_killall_2,,,,,,,,,,,Убить Клайда.,Убить Клайда.,,norcity_q_BossN,,-1
quest_frenk_killall_3,,,,,,,,,,,Доложить о результатах.,Доложить о результатах.,,,,-1
quest_black_Aungar_killboss,,,,,,,,,,500,Аунгар просит убить босса Лумбаса.,Аунгар просит убить босса Лумбаса.,,norcity_q_black_aungar,,0
quest_oldman_razvod,,,,,,,,,,600,Перебазарить собеседника.,Перебазарить собеседника.,,,,0
quest_aryaneast_NA_podstava,,,,,,,,,,5000,Подложить листья кумар травы в сундук в доме Люптке Вайнера.,Подложить листья кумар травы в сундук в доме Люптке Вайнера.,,aryaneast_q_black_NA_glavae_adolf,"aryancent,56,14",0
quest_aryaneast_alkash ,,,,,,,,,,3000,Принести 10 бутылок водки.,Принести 10 бутылок водки.,,aryaneast_q_black_alkash,,0
quest_aryannor_NA_dostavka,aryancity_mini,,,,,,,,,3000,Разграбить склад Валидола.,Разграбить склад Валидола.,,aryannor_q_black_na_glavan,"aryaneast,60,9",0
quest_aryaneast_find_aryan_odegda,,,,,,,,,,5000,Принести арийскуюю одежду.,Принести арийскуюю одежду.,,aryaneast_q_white_noaryan,,0
quest_aryanwest_NA_trader,,,,,,,,,,5000,Уговорить арийца работать с неграми.,Уговорить арийца работать с неграми.,,"aryanwest_q_black_na_glavaw,aryancent_q_white_conrabandist",,0
quest_aryancent_ytrader_isDEAD,,,,,,,,,,1500,Убить китайского торговца.,Убить китайского торговца.,,aryanwest_q_yellow_torgash,,0
quest_aryancent_podstava,,,,,,,,,,5000,Найти способ опозорить Йогана Штрауса перед Рейхом.,Найти способ опозорить Йогана Штрауса перед Рейхом.,,"aryancent_q_white_officer_zagovor,aryancent_q_white_sekretar",,0
quest_aryancent_findNA,,,,,,,,,,5000,Собрать информацию о неграх-арийцах.,Собрать информацию о неграх-арийцах.,,aryancent_q_white_officer_outOHR,,3
quest_aryancent_findNA_1,,,,,,,,,,1000,Выйти на контакт со связным арийцев за пределами города.,Выйти на контакт со связным арийцев за пределами города.,,aryanwest_q_yellow_messenger,,-1
quest_aryancent_findNA_2,,,,,,,,,,1000,Собрать информацию о неграх-арийцах.,Собрать информацию о неграх-арийцах.,,,,-1
quest_aryancent_findNA_3,,,,,,,,,,1000,Доложить о результатах Виктору Бернау.,Доложить о результатах Виктору Бернау.,,aryancent_q_white_officer_outOHR,,-1
quest_aryanwest_Nashpick,,,,,,,,,,1000,"Сообщить Адольфу, что ты перекрасившийся негр.","Сообщить Адольфу, что ты перекрасившийся негр.",,aryaneast_q_black_NA_glavae_adolf,,0
quest_aryancent_killNA,,,,,,,,,,5000,Уничтожить глав негро-арийского подполья.,Уничтожить глав негро-арийского подполья.,,aryancent_q_white_officer_outOHR,,4
quest_aryancent_killNA_1,,,,,,,,,,1000,Убить главу восточного офиса - Адольфа фон Билдера.,Убить главу восточного офиса - Адольфа фон Билдера.,,aryaneast_q_black_NA_glavaE_Adolf,,-1
quest_aryancent_killNA_2,,,,,,,,,,1000,Убить главу западного офиса - Вагнера.,Убить главу западного офиса - Вагнера.,,aryanwest_q_black_NA_glavaW,,-1
quest_aryancent_killNA_3,,,,,,,,,,1000,Убить главу северного офиса - Карла.,Убить главу северного офиса - Карла.,,aryannor_q_black_NA_glavaN,,-1
quest_aryancent_killNA_4,,,,,,,,,,1000,Доложить о выполнении задания.,Доложить о выполнении задания.,,aryancent_q_white_officer_outOHR,,-1
quest_aryanwest_yellow_vs_black,,,,,,,,,,5000,Желтые торговцы хотят получить контроль над рынком.,Желтые торговцы хотят получить контроль над рынком.,,aryanwest_q_yellow_Hi_torgash,,2
quest_aryanwest_yellow_vs_black_1,,,,,,,,,,1000,Сообщить полученную информацию офицеру внешней разведки.,Сообщить информацию офицеру внешней разведки.,,aryancent_q_white_officer_outOHR,,-1
quest_aryanwest_yellow_vs_black_2,,,,,,,,,,1000,Вернуться за вознагражднием.,Вернуться за вознагражднием.,,,,-1
quest_aryancent_killBlack,,,,,,,,,,5000,Виктор Бернау просит убить всех черных торговцев.,Виктор Бернау просит убить всех черных торговцев.,,aryancent_q_white_officer_outOHR,,2
quest_aryancent_killBlack_1,,,,,,,,,,1000,Убить всех черных торговцев.,Убить всех черных торговцев.,,"aryanwest_black_torgash1, aryanwest_black_torgash2, aryanwest_black_torgash3, aryanwest_q_black_Hi_torgash",,-1
quest_aryancent_killBlack_2,,,,,,,,,,1000,Вернуться за вознагражднием к Виктору Бернау.,Вернуться за вознагражднием к Виктору Бернау.,,,,-1
quest_aryanwest_black_vs_yellow,,,,,,,,,,5000,Черные торговцы хотят получить контроль над рынком.,Черные торговцы хотят получить контроль над рынком.,,aryanwest_q_black_Hi_torgash,,2
quest_aryanwest_black_vs_yellow_1,,,,,,,,,,1000,Сообщить информацию офицеру внешней разведки.,Сообщить информацию офицеру внешней разведки.,,aryancent_q_white_officer_outOHR,,-1
quest_aryanwest_black_vs_yellow_2,,,,,,,,,,1000,Вернуться за вознаграждением.,Вернуться за вознаграждением.,,,,-1
quest_aryancent_killyellow,,,,,,,,,,5000,Виктор Бернау просит убить всех желтых торговцев.,Виктор Бернау просит убить всех желтых торговцев.,,aryancent_q_white_officer_outOHR,,2
quest_aryancent_killyellow_1,,,,,,,,,,1000,Убить всех желтых торговцев.,Убить всех желтых торговцев.,,"aryanwest_yellow_torgash1, aryanwest_yellow_torgash2, aryanwest_yellow_torgash3, aryanwest_q_yellow_Hi_torgash",,-1
quest_aryancent_killyellow_2,,,,,,,,,,1000,Вернуться за вознагражднием к Виктору Бернау.,Вернуться за вознагражднием к Виктору Бернау.,,,,-1
quest_goto_skinny,,,Andre1,,skinny10,,,,,,Поговорить с Тощим.,Поговорить с Тощим.,,Skinny1,,0
quest_buy_vanka_p,,,Andre2,,,,Academic2,,,5000,"Добыть снадобье ""Ванька-Встанька"" для Андрэ.","Добыть снадобье ""Ванька-Встанька"" для Андрэ.",,"academic,andre",-,0
quest_find_baodzhi_p,,,Academic2,,,,U_u1,,,1000,Найти Бяо-Джи.,Найти Бяо-Джи.,"yelvill,peasant_house2",,,0
quest_get_stuffedostrich_p,,,U_u1,,,,legbajunior1,,,1500,Вернуть Ю-Ю чучело страуса.,Вернуть Ю-Ю чучело страуса.,,LegbaJunior,,0
quest_get_stuffedostrich_p2,,,legbajunior2,,u_u2,,,,,,Отправиться на охоту с Ю-Ю.,Отправиться на охоту с Ю-Ю.,,u_u,,0
quest_bring_vanka_to_andre,,,Academic3,,andre4,,,,,,"Принести ""Ваньку-Встаньку"" Андре.","Принести ""Ваньку-Встаньку"" Андре.",,andre,,0
quest_pickup_ostrich_gland,,,osthunt_osthunt.ers,,osthunt_osthunt.ers,,,,,1500,Вырезать из страуса ядовитую железу.,Вырезать из страуса ядовитую железу.,,,,0
quest_return_to_academic,,,hunt_for_ostrich_fin.ers,,Academic2,,,,,1500,Принести ядовитую железу страуса Академику.,Принести ядовитую железу страуса Академику.,,academic,"osthunt,63,34",0
quest_mass_fight,,,Blackskin1,,,,,,Blackskin2,800,"Добраться до повара Хо в ресторане ""Золотой петух"".","Добраться до повара Хо в ресторане ""Золотой петух"".",,,-,0
quest_mass_fight_final,,,,,,,,,,100,Дололжить Чернышу о выполнении задания.,Дололжить Чернышу о выполнении задания.,,,"ynorth,44,4",0
quest_earring_gibbous_fight,,,Blackskin3,,Blackskin3b,,,,,800,"Добыть серьги у Горбатого, принести их Чернышу.","Добыть серьги у Горбатого, принести их Чернышу.",,"gibbous,blackskin",-,0
quest_cavern_depth,,,Blackskin9,,,,,,,50000,Добраться до пещеры с челноком.,Добраться до пещеры с челноком.,,,-,0
quest_pickup_package,,,Blackskin9,Blackskin11,mildrop_mildrop.ers,,,,,20000,"Подобрать оружие и обмундирование, направленные с орбиты.","Подобрать оружие и обмундирование, направленные с орбиты.",,,"mildrop,51,48",0
quest_final_doklad,,,shipcave_consgrou_destroy_4elnok_rezid.ers,shipcave_consgrou_destroy_4elnok_cannib.ers,Blackskin10,,,,,50000,Доложить Чернышу об успехе операции.,Доложить Чернышу об успехе операции.,,blackskin,,0
quest_evacuation,,,Blackskin10,,,,,,,1000000,Обнаружить челнок и покинуть планету.,Обнаружить челнок и покинуть планету.,,,,0
quest_demon_find,,,aryantown_aryanwest_start.ers,,Demon1,,,,,,Отыскать Демона.,Отыскать Демона.,,demon,,
quest_demon_escape,,,Demon1,,karloster2,,,,"dead_FatherEvlampiy = 1, quest_demon_escape = ""got""",3000,"Привести Демону священника, лучше всего - батюшку Евлампия.","Привести Демону священника, лучше всего - батюшку Евлампия.",,"fatherevlampiy,demon",-,0
quest_capture_jackson,,,FatherWindigo4,,,,FatherWindigo5,,,3000,Пленить Джексона-старшего.,Пленить Джексона-старшего.,,,-,0
