STRID,SLOT,SKILL,BARRELS,CALIBER,BULLETS,RELOAD_AP,STR,PRICE,DUR,COMPL,MIN_LEVEL,GREN,TELESCOPE,RNG,POI,DMG,ATTACKS,BONUS,REACTION,NAZI_ITEM,FEMALE_ITEM,POLICE_ITEM,POOR_ITEM,RESPECTABLE_ITEM,WIDTH,HEIGHT,PERK,STACKABLE,QUEST,PARTID,SHOT_OFFSET,NAME1,NAME2,DESC1,DESC2
SPIKED_KNUCKLES,HAND,MELEE,0,0,0,0,1,12,100,,,,,0.49,,4-6,BLOW: 8,,1,,,,,,1,1,99,,,,,Spiked Knuckles,Шипованный кастет,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ножи,,
ROSE_KNIFE,HAND,MELEE,0,0,0,0,3,5,100,,999,,,0.49,1,3-7,"THRUST: 12, SWING: 14",,0,,,,,,3,2,2,,,,,Rose Knife,"""Розочка""",,Наполовину разбитая бутылка с целым горлышком и острыми краями.
STONE_KNIFE,HAND,MELEE,0,0,0,0,1,7,100,,,,,0.49,1,5-8,"THRUST: 12, SWING: 14",,0,,,,,,3,1,2,,,,,Stone Knife,Костяной кинжал,,"Кинжал с острым лезвием и грубой ручкой, целиком сделанный из куска кости."
AWL,HAND,MELEE,0,0,0,0,1,10,100,,,,,0.49,1,4-7,"THRUST: 12, SWING: 14",,0,,,,,,3,1,2,,,,,Awl,Заточка,,Остро отточенный кусок железа.
FINNISH_KNIFE,HAND,MELEE,0,0,0,0,3,30,100,,,,,0.49,1,6-10,"THRUST: 12, SWING: 14",,1,,,,,,3,1,2,,,,,Finnish Combat Knife,Финка,,Качественный универсальный нож.
HATCHET,HAND,MELEE,0,0,0,0,4,60,100,,,,,0.49,1,7-14,"THRUST: 14, SWING: 16",,1,,,,,,5,2,2,,,,,Hatchet,Тесак,,Нож-топор для разделки мяса.
STILETTO,HAND,MELEE,0,0,0,0,2,70,100,,,,,0.49,1,6-12,"THRUST: 13, SWING: 15",,1,,,,,,4,1,2,,,,,Stiletto,Стилет,,
SAJ,HAND,MELEE,0,0,0,0,4,100,100,,11,,,0.49,1,8-20,"THRUST: 14, SWING: 16",,1,,,,,,5,2,2,,,,,Saj,Сай,,Китайское оружие. Остро отточенный металлический штырь с большой заостренной гардой.
WEREWOLF,HAND,MELEE,0,0,0,0,4,,100,,999,,,0.49,1,20-40,"THRUST: 14, SWING: 16",CRIT_CHANCE: 99,1,,,,,,4,2,2,,,,,Space Marine Combat Knife,"""Оборотень""",,Боевой нож десантника имперского производства. Почти всегда наносит критические ранения.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мечи,копья,bludgeons",,
KATANA,HAND,MELEE,0,0,0,0,4,15000,100,,20,,,0.49,1,20-50,"THRUST: 18, SWING: 18",CRIT_CHANCE: 10,2,,,,,,10,2,25,,,,,Katana,Катана,,Двуручный меч местного производства в японском стиле.
KATANA_CHINEZE,HAND,MELEE,0,0,0,0,4,1000,100,,12,,,0.49,1,10-35,"THRUST: 18, SWING: 18",CRIT_CHANCE: 5,2,,,,,,10,2,25,,,,,Chinese sword,Китайский меч,,Двуручный меч местного производства в китайском стиле.
IRON_SPEAR,HAND,MELEE,0,0,0,0,3,30,100,,,,,0.49,1,6-12,"THRUST: 18, THROW: 22",,1,,,,,,15,1,16,,,,,Iron Spear,Железное копьё,,Копье с деревянной ручкой и железным наконечником.
STONE_SPEAR,HAND,MELEE,0,0,0,0,3,10,100,,999,,,0.49,1,5-10,"THRUST: 18, THROW: 22",,1,,,,,,15,1,16,,,,,Stone Spear,Копьё,,Копье с бамбуковой ручной и каменным наконечником.
CROWBAR,HAND,MELEE,0,0,0,0,5,200,100,,,,,0.49,,8-15,CRUSH: 22,,2,,,,,,10,1,1,,,,,Crowbar,Лом,,Этим ломом можно серьезно вломить кому-нибудь.
HAMMER,HAND,MELEE,0,0,0,0,5,80,100,,,,,0.49,,9-18,CRUSH: 22,CRIT_CHANCE: 10,1,,,,,,8,3,1,,,,,Hammer,"Кувалда ""Трифоныч""",,Кувалда весом 10кг.
CLUB,HAND,MELEE,0,0,0,0,4,60,100,,,,,0.49,,4-12,CRUSH: 18,,0,,,,,,8,1,,,,,,Club,Дубинка,,"Дубинка, используемая охранниками."
WHIP,HAND,MELEE,0,0,0,0,4,60,100,,,,,0.49,,4-12,CRUSH: 22,,0,,,,,,8,1,,,,,,Whip,Хлыст,,Изящный модный хлыстик. Популярен среди арийских женщин.
PICK,HAND,MELEE,0,0,0,0,5,23,100,,,,,0.49,,8-14,CRUSH: 22,,0,,,,,,5,4,,,,,,Pick,Кирка,,Кирка для добычи угля ручным способом. Годится и для самооброны.
BROOM,HAND,MELEE,0,0,0,0,0,12,100,,999,,,0.49,,1-3,CRUSH: 22,,-1,,,,,,10,2,,,,,,Broom,Метла,,"Метла для уборки помещений, но можно ей и по морде съездить."
SHOVEL,HAND,MELEE,0,0,0,0,2,18,100,,999,,,0.49,,1-6,CRUSH: 22,,0,,,,,,10,2,,,,,,Shovel,Лопата,,Большая совковая лопата. Звонко отскакивает от темечка.
PITCHFORK_SPEAR,HAND,MELEE,0,0,0,0,2,18,100,,999,,,0.49,,1-6,CRUSH: 22,,0,,,,,,10,2,,,,,,Pitchfork,Вилы,,
AXE2H,HAND,MELEE,0,0,0,0,3,50,100,,999,,,0.49,,2-8,CRUSH: 22,,0,,,,,,8,3,,,,,,Axe,Топор,,Топор. Оружие плотников и бандитов с большой дороги.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THROWING_DAGGER,HAND,THROW,0,0,0,0,2,10,100,,,,,10,1,5-10,THROW: 15,,1,,,,,,3,1,12,,,,,Throwing Dagger,Метательный нож,,"Нож, сбалансированный для метания."
THROWING_ARROW,HAND,THROW,0,0,0,0,2,6,100,,999,,,10,1,6-8,THROW: 13,,1,,,,,,1,1,12,,,,,,Метательная стрелка,,
SUIRIKEN,HAND,THROW,0,0,0,0,2,8,100,,,,,10,,7-9,THROW: 12,,1,,,,,,1,1,12,,,,,Suiriken,Сюрикен,Japanese Throwing Weapon,Японское метательное оружие.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Гранаты,,
MOLOTOV_GRENADE,HAND,THROW,0,0,0,0,3,5000,95,,15,,,11,,35-50,THROW: 20,"POISON: 13, EXPL_RAD: 2, TIME: 1, EXPL_PIECES: 10, POISON_DMG: 7",1,,,,,,2,4,11,,,,,Incendiary Grenade,Зажигательная граната,,"Граната с зажигательной смесью, которая разбрызгивается и вспыхивает при взрыве."
STEW_GRENADE,HAND,THROW,0,0,0,0,4,2000,97,,,,,9,,25-45,THROW: 10,"EXPL_PIECES: 30, PIECE_DMG: 10, EXPL_RAD: 2, CRIT_CHANCE: 15",1,,,,,,2,2,11,,,,,Spam Grenade,"Граната ""Тушёнка""",,"Довольно слабая осколочная граната, похожая на банку тушенки."
HANDMADE_GRENADE,HAND,THROW,0,0,0,0,3,250,70,,,,,9,,10-40,THROW: 10,"EXPL_PIECES: 20, PIECE_DMG: 5, EXPL_RAD: 2",1,,,,,,2,2,11,,,,,Handmade Grenade,Клёпаная граната,,"Жуткий самопальный девайс. Надежность крайне низкая, наносимый урон тоже. Но если нет ничего другого…"
LEMON_GRENADE,HAND,THROW,0,0,0,0,3,3000,97,,15,,,11,,25-35,THROW: 10,"EXPL_PIECES: 40, PIECE_DMG: 13, EXPL_RAD: 3, CRIT_CHANCE: 20",1,,,,,,2,2,11,,,,,Pineapple Grenade,"Граната ""Лимонка""",Medium grenade.,Классическая осколочная граната. Средний урон.
CRACKER_GRENADE,HAND,THROW,0,0,0,0,4,900,96,,,,,12,,15-30,THROW: 10,"EXPL_PIECES: 30, PIECE_DMG: 8, EXPL_RAD: 2, CRIT_CHANCE: 10",1,,,,,,2,3,11,,,,,Cracker Grenade,"Граната ""Хлопушка""",Light grenade.,Легкая граната. Невысокий урон.
BIG_HAND_GRENADE,HAND,THROW,0,0,0,0,5,6000,96,,25,,,13,,50-90,THROW: 15,"EXPL_PIECES: 50, PIECE_DMG: 20, EXPL_RAD: 4, CRIT_CHANCE: 40",1,,,,,,2,3,11,,,,,Big Grenade,Граната на ручке,Heavy greander.,"Тяжелая граната, наносящая серьезный урон."
POISON_GRENADE,HAND,THROW,0,0,0,0,4,4000,95,,20,,,12,,10-25,THROW: 20,"POISON: 4, EXPL_RAD: 3, TIME: 5, POISON_DMG: 2",1,,,,,,2,2,11,,,,,Asphyxiating Grenade,Газовая граната,,Граната с ядовитым газом из пятнистого блевантона.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Огнестрельное оружие,,
HUNTING_RIFLE,HAND,BIGG,1,4,1,,4,160,80,30,,,,8,,4-12,SINGLE: 15,CRIT_CHANCE: 1,,,,,,,9,2,,,,,,Hunting Rifle,Кремневое ружье,,Охотничье ружье с запальным кремневым механизмом. Перезарядка в бою невозможна из-за длительности процедуры.
HANDMADE_6MM,HAND,SMG,1,4,1,,2,100,70,30,,,,3.5,,2-7,SINGLE: 15,,,,,,,,4,2,,,,,,Small Handmade Gun,Самопал,Handmade weapon with extremely long reload time. You can shot it only once per combat.,Самодельное оружие на 1 выстрел. Перезарядка в бою невозможна из-за длительности процедуры. Низкая надежность.
HANDMADE_12MM,HAND,BIGG,1,4,1,,2,130,70,30,,,,4,,3-10,SINGLE: 15,,,,,,,,7,2,,,,,,Big Handmade Gun,Самопал большой,Handmade weapon with extremely long reload time. You can shot it only once per combat.,Самодельное оружие на 1 выстрел. Перезарядка в бою невозможна из-за длительности процедуры. Низкая надежность.
HANDMADE_12_DOUBLE,HAND,SMG,2,4,1,,3,180,70,30,,,,4,,3-10,SINGLE: 15,,,,,,,,4,2,,,,,,Dbl Barrelled Handmade Gun,Самопал двуствольный,Handmade weapon with extremely long reload time. You can shot it only twice per combat.,Самодельное оружие на 2 выстрела. Перезарядка в бою невозможна из-за длительности процедуры. Низкая надежность.
SHOTGUN_JUDA,HAND,SMG,1,16,1,,3,500,95,40,,,,3.5,,2-4,SINGLE: 12,,1,,,,,,5,2,5,,,,,Juda Sawn-off Gun,"Обрез ""Иуда""",,Обрез дробовика одноствольный 16 калибра.
SHOTGUN_HELLO,HAND,SMG,1,12,1,,3,800,96,40,,,,3.5,,2-5,SINGLE: 12,,1,,,,,,5,2,5,,,,,Greetings Sawn-off Gun,"Обрез ""Превед""",,Обрез дробовика одноствольный 12 калибра.
SHOTGUN_FRIEND,HAND,SMG,2,16,2,,4,1200,94,40,,,,3.5,,2-5,"SINGLE: 13, DOUBLE: 15",,1,,,,,,5,2,5,,,,,Friend Sawn-off Gun,"Обрез ""Друг""",,Обрез дробовика двуствольный 16 калибра.
SHOTGUN_BEST_FRIEND,HAND,SMG,2,12,2,,4,1800,95,40,,,,4,,2-6,"SINGLE: 13, DOUBLE: 15",,1,,,,,,5,2,5,,,,,Best Friend Sawn-off Gun,"Обрез ""Лучший друг""",,Обрез дробовика двуствольный 12 калибра.
SHOTGUN_ST_TRINITY,HAND,BIGG,3,12,3,,5,100000,88,40,999,,,6,,4-7,"SINGLE: 16, TRIPLE: 20",,1,,,,,,8,2,9,,,,,St. Trinity Shotgun,"Дробовик ""Святая троица""",,Уникальный трехствольный дробовик 12 калибра!
SHOTGUN_OBLOMOV,HAND,BIGG,4,12,4,,5,150000,85,40,999,,,6,,4-7,"SINGLE: 16, QUAD: 20",,1,,,,,,7,3,9,,,,,Oblomov Shotgun,"Дробовик ""Обломов""",,Уникальный четырехствольный дробовик 12 калибра!
SHOTGUN_PENCIL,HAND,BIGG,1,16,1,,4,10000,96,40,10,,,5,,2-7,SINGLE: 13,,1,,,,,,10,2,9,,,,,Pencil Shotgun,"Дробовик ""Карандаш""",,Дробовик одноствольный 16 калибра.
SHOTGUN_BROTHER,HAND,BIGG,1,12,1,,4,12000,97,40,13,,,5,,4-7,SINGLE: 15,,1,,,,,,10,2,9,,,,,Brother Shotgun,"Дробовик ""Брат""",,Дробовик одноствольный 12 калибра.
SHOTGUN_OLDER_BROTHER,HAND,BIGG,1,12,5,,4,18000,94,40,15,,,5,,4-7,SINGLE: 16,,2,,,,,,7,3,9,,,,,Big Brother Shotgun,"Дробовик ""Старший Брат""",,"Дробовик помповый одноствольный 12 калибра, с магазином на 5 патронов."
SHOTGUN_DRUMMER,HAND,BIGG,1,16,8,,4,50000,92,40,23,,,6,,3-8,SINGLE: 16,,2,,,,,,9,2,9,,,,,Drummer Shotgun,"Дробовик ""Барабанщик""",,Дробовик одноствольный с барабанным механизмом. Емкость магазина 8 патронов.
SHOTGUN_PREDATOR,HAND,BIGG,2,16,2,,5,25000,95,40,16,,,5,,3-8,"SINGLE: 15, DOUBLE: 17",,1,,,,,,9,2,9,,,,,Predator Shotgun,"Дробовик ""Хищник""",Double-barrelled 16ga shotgun.,Дробовик двуствольный 16 калибра.
SHOTGUN_OGRE,HAND,BIGG,2,12,2,,5,35000,96,40,20,,,5,,5-8,"SINGLE: 15, DOUBLE: 17",,1,,,,,,8,3,9,,,,,Ogre Shotgun,"Дробовик ""Людоед""",Double-barrelled 12ga shotgun.,Дробовик двуствольный 12 калибра.
SHOTGUN_CHUCHUNDRA,HAND,BIGG,1,12,6,,6,75000,92,40,27,,,5,,5-8,"SINGLE: 15, BURST: 24",,2,,,,,,9,2,9,,,,,Chuchundra Shotgun,"Дробовик ""Чучундра""",Double-barrelled 12ga automatic shotgun/,Дробовик автоматический 12 калибра.
REVOLVER_FELIX_D,HAND,SMG,1,6,6,,3,900,98,50,,,,4,,4-10,SINGLE: 10,,1,,,,,,3,2,4,,,,,Felix D. Revolver,"Револьвер ""Феликс Дэ""",Small 6mm revolver.,Небольшой револьвер калибра 6мм.
REVOLVER_LAVRENTIY_B,HAND,SMG,1,9,6,,4,2500,98,50,15,,,5,,5-12,SINGLE: 10,,1,,,,,,3,2,4,,,,,Lavrentiy B. Revolver,"Револьвер ""Лаврений Бэ""",Medum 9mm revolver.,Средний револьвер калибра 9мм.
REVOLVER_BUTCHER,HAND,SMG,1,12,4,,4,3500,95,50,17,,,3,,2-4,SINGLE: 10,,1,,,,,,3,2,4,,,,,Butcher Revolver,"Револьвер ""Мясник""",Powerful 12ga revolver.,Револьвер-дробовик под патрон 12 калибра.
REVOLVER_IOSIF_S,HAND,SMG,1,9,7,,5,5000,98,55,18,,,6,,13-18,SINGLE: 10,,1,,,,,,5,3,4,,,,,Iosif S. Revolver,"Револьвер ""Иосиф Эс""",Heavy 9mm revolver.,Тяжелый револьвер калибра 9мм.
PISTOL_STUPID,HAND,SMG,1,6,8,,3,600,93,50,,,,5,,5-10,SINGLE: 12,,1,,,,,,3,2,3,,,,,Stupid Pistol,"Пистолет ""Дурак""",Small 6mm pistol.,Небольшой пистолет калибра 6мм.
PISTOL_BEAST,HAND,SMG,1,9,8,,4,1200,94,50,,,,6,,6-12,SINGLE: 14,,1,,,,,,3,2,3,,,,,Beast Pistol,"Пистолет ""Зверь""",Medium 9mm pistol.,Средний пистолет калибра 9мм.
PISTOL_BULL,HAND,SMG,1,6,10,,3,2000,97,50,,,,6,,7-12,SINGLE: 12,,1,,,,,,3,2,3,,,,,Bull Pistol,"Пистолет ""Бык""",Small 6mm aryan-made pistol.,"Компактный пистолет арийского производства, калибр 6мм."
PISTOL_MAD_BULL,HAND,SMG,1,9,12,,4,3000,97,50,15,,,6,,8-13,SINGLE: 14,,1,,,,,,3,2,3,,,,,Mad Bull Pistol,"Пистолет ""Бешеный Бык""",Medium 9mm aryan-made pistol.,"Пистолет арийского производства, калибр 9мм."
PISTOL_GUARD,HAND,SMG,1,9,20,,4,6000,95,50,20,,,6,,14-19,SINGLE: 14,,2,,,,,,5,3,3,,,,,Guard Pistol,"Пистолет ""Сторож""",Heavy 9mm aryan-made pistol.,"Тяжелый пистолет арийского производства, калибр 9мм."
SMG_RAT,HAND,BIGG,1,6,30,,4,7000,92,60,18,,,5,,5-11,"SINGLE: 12, BURST: 20",,1,,,,,,5,2,14,,,,,Rat SMG,"ПП ""Крыса""",6mm submachinegun,Короткоствольный пистолет-пулемет калибра 6мм.
SMG_RAT_PROMZONE,HAND,BIGG,1,6,30,,4,100,80,200,,,,5,,5-11,"SINGLE: 12, BURST: 20",,1,,,,,,5,2,14,,,,,Rat SMG,"ПП ""Крыса""",6mm submachinegun with special paint. Used by Industrial Zone guards.,"Короткоствольный пистолет-пулемет калибра 6мм со специальной раскраской, используется охраной промзоны."
SMG_RAT_PROMZONE_GUARD,HAND,BIGG,1,6,30,,4,500,92,60,,,,5,,5-11,"SINGLE: 12, BURST: 20",,1,,,,,,5,2,14,,,,,Rat SMG,"ПП ""Крыса""",6mm submachinegun with special paint. Used by Industrial Zone guards.,"Короткоствольный пистолет-пулемет калибра 6мм со специальной раскраской, используется охраной промзоны."
SMG_WOODPECKER,HAND,SMG,1,9,18,,4,14000,93,60,22,,,6,,8-14,"SINGLE: 12, BURST: 20",,1,,,,,,3,3,14,,,,,Woodpecker SMG,"ПП ""Дятел""",Small 9mm submachinegun.,Автоматический пистолет калибра 9мм.
SMG_FRET_SAW1,HAND,SMG,1,6,25,,4,7000,91,70,999,,,6,,6-12,"SINGLE: 10, BURST: 18",,1,,,,,,4,3,14,,,,,Fret Saw SMG,"ПП ""Лобзик""",Small 6mm submachinеgun.,Автоматический пистолет калибра 6мм.
SMG_FRET_SAW2,HAND,SMG,1,6,50,,4,9000,90,70,999,,,6,,6-12,"SINGLE: 10, BURST: 18",,1,,,,,,4,3,14,,,,,Fret Saw Plus SMG,"ПП ""Лобзик+""",Small 6mm submachinеgun with double magazine.,Автоматический пистолет калибра 6мм с двумя магазинами.
SMG_SQUALL,HAND,BIGG,1,9,40,,4,65000,95,70,29,,,9,,13-21,"SINGLE: 14, BURST: 23",,2,,,,,,7,4,26,,,,,Squall SMG,"ПП ""Шквал"" ",Big 9mm aryan-made submachinegun.,"Пистолет-пулемет арийского производства, калибр 9мм."
SMG_PERFORATOR1,HAND,BIGG,1,6,30,,4,20000,92,70,999,,,10,,9-17,"SINGLE: 14, BURST: 25",,2,,,,,,7,3,26,,,,,Perforator SMG,"ПП ""Перфоратор"" ",Medium 6mm submachinegun.,Пистолет-пулемет калибра 6мм.
SMG_PERFORATOR2,HAND,BIGG,1,6,60,,4,25000,91,70,999,,,10,,9-17,"SINGLE: 14, BURST: 25",,2,,,,,,7,3,26,,,,,Perforator Plus SMG,"ПП ""Перфоратор+"" ",Medium 6mm submachinegun with double magazine.,Пистолет-пулемет калибра 6мм c двумя магазинами.
RIFLE_PIPE,HAND,BIGG,1,6,1,,5,10000,97,45,12,,1,16,,10-20,SINGLE: 18,CRIT_CHANCE: 15,1,,,,,,10,3,17,,,,,Pipe Rifle,"Винтовка ""Труба""",Light non-automatic 6mm rifle. Telescope installation is possible.,Легкая однозарядная винтовка калибра 6мм. Возможна установка оптического прицела.
RIFLE_BOLT,HAND,BIGG,1,6,1,,5,4500,93,45,999,,,16,,9-14,SINGLE: 18,CRIT_CHANCE: 5,1,,,,,,10,3,17,,,,,Bolt Rifle,"Винтовка ""Болт""",Light non-automatic 6mm rifle.,"Легкая однозарядная винтовка, калибр 6мм."
RIFLE_HANA,HAND,BIGG,1,6,1,,5,30000,94,45,17,,,20,,12-22,SINGLE: 16,CRIT_CHANCE: 10,1,,,,,,12,3,17,,,,,Hana Rifle,"Карабин ""Хана""",Light non-automatic 6mm rifle.,Однозарядный карабин калибра 6мм.
RIFLE_KNACKER,HAND,BIGG,1,6,20,,5,60000,95,70,28,,,9,,10-20,"SINGLE: 16, BURST: 25",,2,,,,,,8,3,26,,,,,Knacker SMG,"Автомат ""Живодёр""",Medium 6mm submachinegun.,Автомат калибра 6мм.
RIFLE_FULL_PIPE,HAND,BIGG,1,9,1,,6,90000,97,45,30,,1,18,,25-37,SINGLE: 16,CRIT_CHANCE: 20,1,,,,,,12,3,17,,,,,Heavy Pipe Rifle,"Винтовка ""Полная Труба""",Medium non-automatic 9mm rifle. Telescope installation is possible.,Средняя однозарядная винтовка калибра 9мм. Возможна установка оптического прицела.
RIFLE_VAMPIRE,HAND,BIGG,1,9,50,,5,130000,95,70,35,1,,12,,15-25,"SINGLE: 14, BURST: 22",,2,,,,,,9,4,26,,,,,Vampire Assault Rifle,"Винтовка ""Вампир""",9mm assault rifle. Underbarrel launcher installation is possible.,Автоматическая винтовка калибра 9мм с возможностью установки подствольного гранатомета.
RIFLE_ATAS,HAND,BIGG,1,9,30,,5,200000,97,70,38,1,1,14,,16-32,"SINGLE: 10, BURST: 16",,2,,,,,,8,3,30,,,,,Atas Assault Rifle,"Винтовка ""Атас""",Heavy 9mm assault rifle. Underbarrel launcher and telescope installation is possible.,Штурмовая винтовка калибра 9мм с возможностью установки подствольного гранатомета и оптического прицела.
RIFLE_TORNADO,HAND,BIGG,1,9,30,,5,250000,97,80,40,,1,14,,19-36,"SINGLE: 10, BURST: 16",CRIT_CHANCE: 25,2,,,,,,9,4,30,,,,,Tornado Assault Rifle,"Винтовка ""Ураган""",Heavy 9mm aryan-made assault rifle. Telescope installation is possible.,Штурмовая винтовка калибра 9мм арийского производства с возможностью установки оптического прицела.
RIFLE_MAMA,HAND,BIGG,1,14,5,,7,500000,97,45,999,,1,22,,38-51,SINGLE: 10,CRIT_CHANCE: 30,2,,,,,,12,4,17,,,,,Mama Rifle,"Винтовка ""Мама""",Heavy semi-automatic 14mm rifle. Telescope installation is possible.,"Тяжелая полуавтоматическая винтовка, калибр 14мм. Возможна установка оптического прицела."
MG_KAIN,HAND,BIGG,1,9,100,,7,700000,97,80,42,,,10,,23-40,"BURST: 14, LONG_BURST: 19",CRIT_CHANCE: 20,3,,,,,,12,4,31,,,,,Kain Machine Gun,"Пулемет ""Каин""",Medium 9mm machine gun.,Ручной пулемет калибра 9мм с дисковым магазином.
MG_ACHTUNG,HAND,BIGG,1,14,100,,8,1000000,97,90,999,,,14,,30-46,"BURST: 14, LONG_BURST: 20",CRIT_CHANCE: 20,3,,,,,,12,4,31,,,,,Achtung Machine Gun,"Пулемет ""Ахтунг""",Heavy 14mm machine gun.,Тяжелый ручной пулемет калибра 14мм.
LAUNCHER_PRESENT,,BIGG,1,30,1,,1,120000,99,80,35,,,14,,50-70,LAUNCH: 10,,0,,,,,,3,2,33,,,,,Underbarrel Grenade Launcher ,"Гранатомёт подствольный ""Подарок""",30mm underbarrel grenade launcher sutable to Atas and Vampire assault rifles.,"Подствольный гранатомет для установки на винтовки ""Вампир"" и ""Атас""."
LAUNCHER_TERMINATOR,HAND,BIGG,1,30,6,,5,350000,96,80,40,,,14,,60-80,LAUNCH: 14,,3,,,,,,8,4,32,,,,,Grenade Launcher,"Гранатомет ""Терминатор""",Revolver-type 30mm grenade launcher.,"Гранатомет калибра 30мм, с барабанным магазином."
LAUNCHER_SHAITAN,HAND,BIGG,1,80,1,,7,500000,95,80,43,,,15,,160-300,LAUNCH: 10,,3,,,,,,13,3,32,,,,,Shaitan Bazooka,"Базука ""Шайтан-труба""",80mm bazooka is the most powerful weapon on this planet.,Базука однозарядная калибра 80мм.
BLASTER_B7,HAND,NRG,1,5,20,,3,,100,200,999,,,12,,39-47,"SINGLE: 7, BURST: 14",,5,,,,,,3,2,36,,,,,B7 Blaster,"Бластер Б-7 ""Козырь""",Standard Space Marine weapon.,Одноручный бластер имперского производства.
BLASTER_E95,HAND,NRG,1,5,50,,4,,100,200,999,,,20,,49-57,"BURST: 10, LONG_BURST: 24",,5,,,,,,10,3,37,,,,,E95 Assault Blaster,"Бластер Е-95 ""Тузик""",Standard Space Marine assault weapon.,Штурмовой бластер имперского производства.
RAILGUN,HAND,NRG,1,10,16,,5,,100,200,999,,,50,,200-260,SINGLE: 10,CRIT_CHANCE: 30,5,,,,,,12,4,38,,,,,EMIR61 Railgun,"Рэйлган ЭМИР-61 ""Шило"" ",Heavy Space Marine weapon with high piercing ability.,Рэйлган имперского производства. Обладает уникальной пробивной способностью.
HANDCUFFS,HAND,,,,,,,,100,200,999,,,,,,,,,,,,,,3,2,,,,,,Handcuffs,Наручники,,
TELESCOPE,,,1,,,,,50000,100,200,30,,,,,,,,,,,,,,3,2,34,,,,,Telescope,Оптический прицел,"Telescope sutable to standard rifles and Tornado, Atas assault rifles","Оптический прицел для установки на обычные винтовки, а также на штурмовые винтовки ""Ураган"" и ""Атас""."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Боеприпасы,,
AMMO_6MM,,,,6,1,,,15,100,,,,,,,,,,,,,,,,2,2,,100,,,,6mm Ammo,Патроны 6мм,Ammo for small pistols and submachineguns.,Патроны для небольших пистолетов и автоматов.
